,TEMP@500_NHX,TEMP@500_TROPICS,TEMP@500_SHX,RH@500_NHX,RH@500_TROPICS,RH@500_SHX,OLR_NHX,OLR_TROPICS,OLR_SHX,OLRC_NHX,OLRC_TROPICS,OLRC_SHX,RSR_NHX,RSR_TROPICS,RSR_SHX,RSRC_NHX,RSRC_TROPICS,RSRC_SHX,LAT_NHX,LAT_TROPICS,LAT_SHX,Lprecip_NHX,Lprecip_TROPICS,Lprecip_SHX,netflux_GLOBAL,MSLP_NHX_DGM,MSLP_TROPICS_DGM
TEMP@500_NHX,4.25E-05,5.68E-05,2.82E-05,2.81E-05,0.000363259,-5.91E-06,1.75E-05,-0.000444596,2.62E-05,2.21E-05,-0.000139786,7.20E-06,1.22E-05,0.000254941,6.85E-05,-1.69E-05,-8.44E-06,-1.14E-06,2.24E-05,3.46E-06,4.82E-06,-3.11E-14,-2.24E-16,3.72E-14,6.95E-05,-0.000112404,-0.001286727
TEMP@500_TROPICS,5.68E-05,8.94E-05,4.66E-05,2.81E-05,0.000538437,-9.93E-06,4.99E-05,-0.000663445,3.54E-05,4.34E-05,-0.000203926,1.40E-05,-1.44E-05,0.000383679,0.000121005,-2.45E-05,-1.19E-05,-3.79E-06,3.28E-05,2.21E-06,-2.16E-06,-4.74E-14,7.09E-14,1.39E-13,0.000100544,0.001014117,-0.002223327
TEMP@500_SHX,2.82E-05,4.66E-05,2.75E-05,8.37E-06,0.000294499,-9.96E-06,3.28E-05,-0.000354883,1.32E-05,2.73E-05,-0.000108717,8.76E-06,-1.60E-05,0.000207267,7.56E-05,-1.49E-05,-5.77E-06,-2.40E-06,1.74E-05,2.22E-06,-2.98E-06,-3.63E-14,-8.41E-16,1.33E-13,5.20E-05,0.000919288,-0.001164308
RH@500_NHX,2.81E-05,2.81E-05,8.37E-06,0.000150973,0.000279278,1.09E-06,-7.11E-05,-0.000291211,-1.16E-05,-7.36E-06,-0.000115978,-7.58E-06,6.65E-05,0.000125705,4.74E-05,-1.86E-05,-5.52E-06,2.02E-07,2.59E-05,-7.26E-07,3.64E-06,-5.36E-15,-1.05E-13,1.02E-13,7.92E-05,-0.00189407,-7.84E-05
RH@500_TROPICS,0.000363259,0.000538437,0.000294499,0.000279278,0.004848653,-2.84E-05,0.000207838,-0.005580148,0.000188442,0.00020353,-0.001895222,3.61E-05,4.56E-05,0.003339261,0.000937123,-0.000242661,-8.60E-05,-1.68E-05,0.000191379,-5.44E-05,-5.06E-05,-3.50E-13,-1.01E-13,1.67E-12,0.000843237,0.002620537,-0.012572382
RH@500_SHX,-5.91E-06,-9.93E-06,-9.96E-06,1.09E-06,-2.84E-05,0.000130544,-3.61E-05,6.46E-05,-7.91E-05,-2.63E-05,5.67E-06,-2.75E-05,3.34E-05,-0.000103279,2.77E-05,1.74E-05,2.51E-06,-5.23E-06,-5.15E-06,-4.65E-06,1.44E-05,6.17E-14,-3.10E-14,-2.64E-13,3.31E-05,-0.000680649,0.000338519
OLR_NHX,1.75E-05,4.99E-05,3.28E-05,-7.11E-05,0.000207838,-3.61E-05,0.000146117,-0.000241785,3.04E-05,6.49E-05,-4.73E-05,2.66E-05,-0.0001299,0.000235539,4.13E-05,-1.43E-05,-3.75E-06,-1.83E-06,1.09E-05,-7.45E-06,-1.15E-05,-6.79E-14,4.41E-14,1.91E-13,-1.77E-05,0.003178073,-0.001946642
OLR_TROPICS,-0.000444596,-0.000663445,-0.000354883,-0.000291211,-0.005580148,6.46E-05,-0.000241785,0.006687202,-0.000336638,-0.000249068,0.002228532,-6.95E-05,-2.86E-05,-0.004038051,-0.001147187,0.000295128,0.000108475,2.48E-05,-0.000229147,5.36E-05,6.68E-05,3.37E-13,-3.06E-13,-1.83E-12,-0.000967287,-0.002992621,0.015508999
OLR_SHX,2.62E-05,3.54E-05,1.32E-05,-1.16E-05,0.000188442,-7.91E-05,3.04E-05,-0.000336638,0.000181935,1.48E-05,-8.70E-05,3.79E-05,1.98E-05,0.00030146,-3.83E-05,2.53E-06,-7.13E-06,1.17E-06,7.51E-06,-4.89E-06,-2.59E-05,-7.39E-14,4.44E-13,1.81E-13,-2.78E-05,-2.84E-05,-0.001284721
OLRC_NHX,2.21E-05,4.34E-05,2.73E-05,-7.36E-06,0.00020353,-2.63E-05,6.49E-05,-0.000249068,1.48E-05,4.92E-05,-5.82E-05,1.82E-05,-5.94E-05,0.000181642,5.88E-05,-2.41E-05,-3.72E-06,-2.18E-06,2.08E-05,3.86E-06,2.38E-06,-5.04E-14,-9.52E-14,1.39E-13,1.64E-05,0.001568657,-0.00123889
OLRC_TROPICS,-0.000139786,-0.000203926,-0.000108717,-0.000115978,-0.001895222,5.67E-06,-4.73E-05,0.002228532,-8.70E-05,-5.82E-05,0.000769487,-1.00E-05,-4.11E-05,-0.001329965,-0.000386655,9.22E-05,3.63E-05,7.27E-06,-6.76E-05,2.53E-05,2.78E-05,8.90E-14,-1.24E-13,-6.26E-13,-0.000335957,-0.000260152,0.004646095
OLRC_SHX,7.20E-06,1.40E-05,8.76E-06,-7.58E-06,3.61E-05,-2.75E-05,2.66E-05,-6.95E-05,3.79E-05,1.82E-05,-1.00E-05,1.58E-05,-1.68E-05,7.66E-05,1.50E-06,-2.37E-06,-1.24E-06,-6.04E-07,6.52E-06,9.43E-07,-6.04E-06,-3.12E-14,4.55E-14,8.05E-14,-1.54E-05,0.000677088,-0.0005034
RSR_NHX,1.22E-05,-1.44E-05,-1.60E-05,6.65E-05,4.56E-05,3.34E-05,-0.0001299,-2.86E-05,1.98E-05,-5.94E-05,-4.11E-05,-1.68E-05,0.000264514,-8.58E-05,-5.22E-05,3.67E-05,-1.06E-06,3.03E-06,1.25E-06,9.24E-06,4.16E-07,-5.74E-14,6.06E-14,-5.22E-14,3.55E-05,-0.002814903,0.000878578
RSR_TROPICS,0.000254941,0.000383679,0.000207267,0.000125705,0.003339261,-0.000103279,0.000235539,-0.004038051,0.00030146,0.000181642,-0.001329965,7.66E-05,-8.58E-05,0.002800367,0.000666279,-0.000175355,-7.36E-05,-1.57E-05,0.00012447,-6.75E-05,-8.49E-05,-3.03E-13,5.68E-13,1.39E-12,0.000380864,0.003096294,-0.010002614
RSR_SHX,6.85E-05,0.000121005,7.56E-05,4.74E-05,0.000937123,2.77E-05,4.13E-05,-0.001147187,-3.83E-05,5.88E-05,-0.000386655,1.50E-06,-5.22E-05,0.000666279,0.000388076,-6.03E-05,-2.10E-05,-1.10E-05,4.28E-05,-1.20E-06,-1.89E-05,-1.55E-14,-1.52E-14,4.13E-13,0.00017073,0.0023528,-0.002858834
RSRC_NHX,-1.69E-05,-2.45E-05,-1.49E-05,-1.86E-05,-0.000242661,1.74E-05,-1.43E-05,0.000295128,2.53E-06,-2.41E-05,9.22E-05,-2.37E-06,3.67E-05,-0.000175355,-6.03E-05,4.99E-05,4.41E-06,5.68E-07,-1.52E-05,-1.24E-06,-1.33E-05,-2.04E-14,1.84E-13,-1.01E-13,-5.42E-05,0.000212034,0.000315907
RSRC_TROPICS,-8.44E-06,-1.19E-05,-5.77E-06,-5.52E-06,-8.60E-05,2.51E-06,-3.75E-06,0.000108475,-7.13E-06,-3.72E-06,3.63E-05,-1.24E-06,-1.06E-06,-7.36E-05,-2.10E-05,4.41E-06,3.24E-06,6.82E-07,-3.75E-06,9.70E-07,1.67E-06,4.07E-15,-6.43E-14,-3.26E-14,-1.04E-05,1.07E-05,0.000304981
RSRC_SHX,-1.14E-06,-3.79E-06,-2.40E-06,2.02E-07,-1.68E-05,-5.23E-06,-1.83E-06,2.48E-05,1.17E-06,-2.18E-06,7.27E-06,-6.04E-07,3.03E-06,-1.57E-05,-1.10E-05,5.68E-07,6.82E-07,1.74E-06,-7.94E-07,1.05E-06,2.24E-06,-2.71E-15,-4.54E-14,-3.50E-14,-2.72E-06,-0.000243181,0.000121616
LAT_NHX,2.24E-05,3.28E-05,1.74E-05,2.59E-05,0.000191379,-5.15E-06,1.09E-05,-0.000229147,7.51E-06,2.08E-05,-6.76E-05,6.52E-06,1.25E-06,0.00012447,4.28E-05,-1.52E-05,-3.75E-06,-7.94E-07,1.85E-05,5.53E-06,6.90E-06,-2.69E-14,-7.85E-14,3.40E-14,3.99E-05,0.000135427,-0.000703217
LAT_TROPICS,3.46E-06,2.21E-06,2.22E-06,-7.26E-07,-5.44E-05,-4.65E-06,-7.45E-06,5.36E-05,-4.89E-06,3.86E-06,2.53E-05,9.43E-07,9.24E-06,-6.75E-05,-1.20E-06,-1.24E-06,9.70E-07,1.05E-06,5.53E-06,1.22E-05,1.18E-05,-6.45E-15,-9.36E-14,-7.27E-14,8.28E-06,-0.000166054,8.34E-05
LAT_SHX,4.82E-06,-2.16E-06,-2.98E-06,3.64E-06,-5.06E-05,1.44E-05,-1.15E-05,6.68E-05,-2.59E-05,2.38E-06,2.78E-05,-6.04E-06,4.16E-07,-8.49E-05,-1.89E-05,-1.33E-05,1.67E-06,2.24E-06,6.90E-06,1.18E-05,2.99E-05,1.89E-14,-2.49E-13,-2.08E-13,2.28E-05,-0.001037201,0.000339219
Lprecip_NHX,-3.11E-14,-4.74E-14,-3.63E-14,-5.36E-15,-3.50E-13,6.17E-14,-6.79E-14,3.37E-13,-7.39E-14,-5.04E-14,8.90E-14,-3.12E-14,-5.74E-14,-3.03E-13,-1.55E-14,-2.04E-14,4.07E-15,-2.71E-15,-2.69E-14,-6.45E-15,1.89E-14,3.04E-22,1.64E-22,-4.37E-22,3.30E-14,-2.00E-12,1.59E-12
Lprecip_TROPICS,-2.24E-16,7.09E-14,-8.41E-16,-1.05E-13,-1.01E-13,-3.10E-14,4.41E-14,-3.06E-13,4.44E-13,-9.52E-14,-1.24E-13,4.55E-14,6.06E-14,5.68E-13,-1.52E-14,1.84E-13,-6.43E-14,-4.54E-14,-7.85E-14,-9.36E-14,-2.49E-13,1.64E-22,6.02E-21,1.36E-21,-2.64E-13,5.16E-12,-5.65E-12
Lprecip_SHX,3.72E-14,1.39E-13,1.33E-13,1.02E-13,1.67E-12,-2.64E-13,1.91E-13,-1.83E-12,1.81E-13,1.39E-13,-6.26E-13,8.05E-14,-5.22E-14,1.39E-12,4.13E-13,-1.01E-13,-3.26E-14,-3.50E-14,3.40E-14,-7.27E-14,-2.08E-13,-4.37E-22,1.36E-21,3.88E-21,5.92E-14,1.10E-11,-4.08E-12
netflux_GLOBAL,6.95E-05,0.000100544,5.20E-05,7.92E-05,0.000843237,3.31E-05,-1.77E-05,-0.000967287,-2.78E-05,1.64E-05,-0.000335957,-1.54E-05,3.55E-05,0.000380864,0.00017073,-5.42E-05,-1.04E-05,-2.72E-06,3.99E-05,8.28E-06,2.28E-05,3.30E-14,-2.64E-13,5.92E-14,0.000268412,-0.00069514,-0.001637256
MSLP_NHX_DGM,-0.000112404,0.001014117,0.000919288,-0.00189407,0.002620537,-0.000680649,0.003178073,-0.002992621,-2.84E-05,0.001568657,-0.000260152,0.000677088,-0.002814903,0.003096294,0.0023528,0.000212034,1.07E-05,-0.000243181,0.000135427,-0.000166054,-0.001037201,-2.00E-12,5.16E-12,1.10E-11,-0.00069514,0.143370457,-0.048975627
MSLP_TROPICS_DGM,-0.001286727,-0.002223327,-0.001164308,-7.84E-05,-0.012572382,0.000338519,-0.001946642,0.015508999,-0.001284721,-0.00123889,0.004646095,-0.0005034,0.000878578,-0.010002614,-0.002858834,0.000315907,0.000304981,0.000121616,-0.000703217,8.34E-05,0.000339219,1.59E-12,-5.65E-12,-4.08E-12,-0.001637256,-0.048975627,0.066176545
