olr_nhx,rsr_nhx,lat_nhx,lprecip_nhx,mslp_nhx_dgm,temp@500_nhx,rh@500_nhx,olr_tropics,rsr_tropics,lat_tropics,lprecip_tropics,mslp_tropics_dgm,temp@500_tropics,rh@500_tropics,olr_shx,rsr_shx,lat_shx,lprecip_shx,temp@500_shx,rh@500_shx
1.45E-02,-1.01E-02,6.84E-03,-3.77E-09,-1.72E-01,2.48E-03,-5.57E-03,-1.69E-03,7.83E-04,3.05E-04,-7.68E-09,-1.55E-03,-2.03E-04,3.71E-03,-1.91E-03,3.62E-04,-1.23E-03,5.75E-09,1.68E-05,-4.33E-04
-1.01E-02,2.09E-02,-4.89E-03,1.03E-08,2.74E-01,3.27E-04,2.70E-03,-1.48E-03,4.37E-04,-5.73E-04,8.46E-09,6.34E-02,1.35E-04,-1.05E-03,9.65E-04,-2.29E-03,-8.95E-06,-1.82E-09,5.33E-04,-1.83E-03
6.84E-03,-4.89E-03,6.56E-03,-5.42E-10,-2.99E-01,1.50E-03,-1.71E-03,-6.21E-04,-4.47E-04,3.02E-05,-2.61E-09,4.30E-02,-1.26E-04,7.64E-04,-7.43E-04,6.92E-04,6.51E-04,1.80E-09,2.80E-04,5.45E-04
-3.77E-09,1.03E-08,-5.42E-10,1.98E-14,2.30E-07,1.84E-09,-2.40E-10,-2.77E-09,-6.81E-10,-2.57E-10,5.77E-15,-2.42E-08,-8.64E-11,4.15E-10,7.21E-10,-7.91E-10,-4.62E-10,5.92E-15,3.95E-10,8.78E-10
-1.72E-01,2.74E-01,-2.99E-01,2.30E-07,1.29E+02,-3.25E-02,1.54E-02,8.54E-02,1.13E-01,-4.01E-02,-5.19E-07,-9.69E+00,1.58E-02,4.57E-02,-1.21E-01,-5.95E-01,-1.36E-01,-5.73E-07,-6.89E-02,-2.45E-01
2.48E-03,3.27E-04,1.50E-03,1.84E-09,-3.25E-02,1.57E-03,-1.34E-03,-1.12E-03,5.94E-04,1.05E-04,-3.68E-10,-4.29E-02,8.97E-05,8.46E-04,-3.20E-05,-1.30E-05,-2.53E-04,2.99E-09,1.34E-04,-4.36E-04
-5.57E-03,2.70E-03,-1.71E-03,-2.40E-10,1.54E-02,-1.34E-03,7.39E-03,3.01E-03,-2.28E-03,-2.22E-04,-3.51E-10,1.31E-04,-1.41E-04,-2.76E-03,6.59E-04,1.89E-03,2.87E-04,-4.46E-10,2.01E-04,7.99E-04
-1.69E-03,-1.48E-03,-6.21E-04,-2.77E-09,8.54E-02,-1.12E-03,3.01E-03,9.43E-03,-4.34E-03,1.72E-03,-1.06E-08,-3.77E-03,7.21E-04,-4.33E-03,-6.97E-04,2.30E-03,8.94E-04,-2.73E-09,3.34E-04,3.57E-04
7.83E-04,4.37E-04,-4.47E-04,-6.81E-10,1.13E-01,5.94E-04,-2.28E-03,-4.34E-03,1.15E-02,-1.07E-03,1.14E-08,1.04E-01,7.64E-04,3.20E-03,9.61E-04,-4.48E-03,-1.13E-03,-2.52E-09,9.20E-05,-3.75E-03
3.05E-04,-5.73E-04,3.02E-05,-2.57E-10,-4.01E-02,1.05E-04,-2.22E-04,1.72E-03,-1.07E-03,1.38E-03,-3.57E-09,1.83E-02,4.08E-04,-6.95E-04,-1.39E-04,4.60E-04,3.52E-04,-9.27E-10,1.77E-04,3.61E-04
-7.68E-09,8.46E-09,-2.61E-09,5.77E-15,-5.19E-07,-3.68E-10,-3.51E-10,-1.06E-08,1.14E-08,-3.57E-09,6.64E-14,9.20E-08,2.92E-10,4.36E-09,1.97E-09,1.08E-09,-1.81E-09,4.36E-15,9.00E-10,-5.12E-10
-1.55E-03,6.34E-02,4.30E-02,-2.42E-08,-9.69E+00,-4.29E-02,1.31E-04,-3.77E-03,1.04E-01,1.83E-02,9.20E-08,2.81E+01,-8.53E-03,4.60E-02,-2.23E-02,-1.12E-01,9.62E-02,-8.46E-07,3.42E-02,-1.06E-01
-2.03E-04,1.35E-04,-1.26E-04,-8.64E-11,1.58E-02,8.97E-05,-1.41E-04,7.21E-04,7.64E-04,4.08E-04,2.92E-10,-8.53E-03,6.13E-04,-8.82E-04,-8.50E-05,-1.86E-04,-1.40E-04,-1.73E-10,1.53E-04,-5.73E-04
3.71E-03,-1.05E-03,7.64E-04,4.15E-10,4.57E-02,8.46E-04,-2.76E-03,-4.33E-03,3.20E-03,-6.95E-04,4.36E-09,4.60E-02,-8.82E-04,9.78E-03,-6.78E-04,-3.83E-03,-2.05E-03,5.79E-09,-1.01E-03,-1.10E-03
-1.91E-03,9.65E-04,-7.43E-04,7.21E-10,-1.21E-01,-3.20E-05,6.59E-04,-6.97E-04,9.61E-04,-1.39E-04,1.97E-09,-2.23E-02,-8.50E-05,-6.78E-04,8.92E-03,4.30E-04,-2.79E-04,-5.86E-10,6.98E-04,-1.42E-03
3.62E-04,-2.29E-03,6.92E-04,-7.91E-10,-5.95E-01,-1.30E-05,1.89E-03,2.30E-03,-4.48E-03,4.60E-04,1.08E-09,-1.12E-01,-1.86E-04,-3.83E-03,4.30E-04,1.82E-02,-2.24E-05,1.62E-08,2.33E-03,5.65E-03
-1.23E-03,-8.95E-06,6.51E-04,-4.62E-10,-1.36E-01,-2.53E-04,2.87E-04,8.94E-04,-1.13E-03,3.52E-04,-1.81E-09,9.62E-02,-1.40E-04,-2.05E-03,-2.79E-04,-2.24E-05,8.08E-03,-1.40E-08,4.13E-04,1.33E-03
5.75E-09,-1.82E-09,1.80E-09,5.92E-15,-5.73E-07,2.99E-09,-4.46E-10,-2.73E-09,-2.52E-09,-9.27E-10,4.36E-15,-8.46E-07,-1.73E-10,5.79E-09,-5.86E-10,1.62E-08,-1.40E-08,1.79E-13,8.75E-10,6.10E-09
1.68E-05,5.33E-04,2.80E-04,3.95E-10,-6.89E-02,1.34E-04,2.01E-04,3.34E-04,9.20E-05,1.77E-04,9.00E-10,3.42E-02,1.53E-04,-1.01E-03,6.98E-04,2.33E-03,4.13E-04,8.75E-10,1.24E-03,-3.21E-04
-4.33E-04,-1.83E-03,5.45E-04,8.78E-10,-2.45E-01,-4.36E-04,7.99E-04,3.57E-04,-3.75E-03,3.61E-04,-5.12E-10,-1.06E-01,-5.73E-04,-1.10E-03,-1.42E-03,5.65E-03,1.33E-03,6.10E-09,-3.21E-04,9.36E-03
